reference_id,bibliography,inspection_status,relevance,bibliographic_evidence
S03,"Woolley, C. Leonard. 1911. Karanòg: The Town. Expedition V. Philadelphia: University Museum.",Inspected in the scope recorded in source ledger.,Separates town chronology and campaign from cemetery.,[S03](https://mc.dlib.nyu.edu/files/books/ifa_egypt000193/ifa_egypt000193_hi.pdf)
S05,"Török, László. 2002. “Kinship and Decorum: (Re-)constructing the Meroitic Élite.” Der Antike Sudan / Mitteilungen der Sudanarchäologischen Gesellschaft zu Berlin 13: 60–84.",Inspected in the scope recorded in source ledger.,"Provides a named Török discussion, earlier cemetery chronology, and social interpretation of ba sculptures.",[S05](https://www.sag-online.de/wp-content/uploads/2018/06/Toeroek2002_KinshipAndDecorum-MeroiticElite_60-84_MittSAG13_small.pdf)
S06,"Francigny, Vincent, and Romain David. 2013. “Dating Funerary Material in the Meroitic Kingdom.” Der Antike Sudan 24: 105–115.",Inspected in the scope recorded in source ledger.,Explains why object typology and funerary deposition require contextual caution.,[S06](https://www.sag-online.de/wp-content/uploads/2017/01/FrancignyDavid2013_DatingFuneraryMaterialInMeroiticKingdom_MittSAG24.pdf)
S10,"Quertinmont, Arnaud. 2017. “La statuaire funéraire des dignitaires provinciaux de l’empire méroïtique.” Koregos, reporticle 206, version 1, published 16 August 2017.",Inspected in the scope recorded in source ledger.,Provides the later Maloton/peseto identification and a dated 2017 location statement.,[S10](https://koregos.org/en/arnaud-quertinmont-la-statuaire-funeraire-des-dignitaires-provinciaux-de-lempire-meroitique/)
S11,"Rilly, Claude. 2016. “Meroitic.” In Julie Stauder-Porchet, Andréas Stauder and Willeke Wendrich (eds), UCLA Encyclopedia of Egyptology. Los Angeles. Version 1 June 2016.",Inspected in the scope recorded in source ledger.,Clarifies script decipherment versus language comprehension.,[S11](https://escholarship.org/uc/item/3128r3sw)
S15,"Obłuski, Artur, Włodzimierz Godlewski, Wojciech Kołątaj, Stanisław Medeksza and Cristobal Calaforra-Rzepka. 2013. “The Mosque Building in Dongola. Conservation and Revitalization Project.” Polish Archaeology in the Mediterranean 22: 248–272.",Inspected in the scope recorded in source ledger.,"Detailed architectural evidence, 1969 chronology, rebuilding and source-image captions.",[S15](https://bazhum.muzhp.pl/media/texts/polish-archaeology-in-the-mediterranean/2013-tom-22/polish_archaeology_in_the_mediterranean-r2013-t22-s248-272.pdf)
S16,"Godlewski, Włodzimierz. 2012. “Dongola, Sudan. Excavations in 2012.” Światowit 10 (51), fasc. A: 185–192.",Inspected in the scope recorded in source ledger.,Primary conservation-season account of the cross/elders composition; useful replacement for inaccessible webpage.,[S16](https://bazhum.muzhp.pl/media/texts/swiatowit-rocznik-poswiecony-archeologii-przeddziejowej-i-badaniom-pierwotnej-kultury-polskiej-i-sowianskiej/2012-tom-10-51-numer-a/swiatowit_rocznik_poswiecony_archeologii_przeddziejowej_i_badaniom_pierwotnej_kultury_polskiej_i_slowianskiej-r2012-t10_51-na-s185-192.pdf)
S17,"Ochała, Grzegorz. Database of Medieval Nubian Texts, Text 611, mosque foundation stela.",Inspected in the scope recorded in source ledger.,Exact inscription record rather than a generalized claim about 1317.,[S17](https://dbmnt.uw.edu.pl/texts/611/)
S19,"Fushiya, Tomomi. 2025. “Heritage, tourism, and community: developing community-based tourism in Old Dongola, Sudan.” Polish Archaeology in the Mediterranean 34.2: 99–141. DOI: 10.37343/uw.2083-537X.pam34.2.6.",Inspected in the scope recorded in source ledger.,Recent scholarship explicitly retaining church/throne alternatives and developing community-led heritage work.,[S19](https://doi.org/10.37343/uw.2083-537X.pam34.2.6)
S20,"Idriss, Habab, and Mohamed Hassan Siedahmed. 2025. “Old Dongola community engagement from a Sudanese perspective.” Polish Archaeology in the Mediterranean 34.2: 33–64. DOI: 10.37343/uw.2083-537X.pam34.2.4.",Inspected in the scope recorded in source ledger.,Sudanese-authored perspective on community participation and education.,[S20](https://doi.org/10.37343/uw.2083-537X.pam34.2.4)
