source_id,bibliography,url,inspection_scope,page_crosswalk,limitations,accessed,download,sha256
S01,"Woolley, C. Leonard, and D. Randall-MacIver. 1910. Karanòg: The Romano-Nubian Cemetery. Text. Eckley B. Coxe Junior Expedition to Nubia III. Philadelphia: University Museum.",https://archive.org/download/karangromanonu00wool/karangromanonu00wool.pdf,"Title, preface and relevant excavation, sculpture, pottery, graffiti and chronology passages inspected.","Printed vii–viii = PDF 11–12; Arabic printed page +16 = PDF page, e.g. 47=63 and 81=97.","Primary observations must be separated from the authors’ racial, ethnic and historical interpretations. Estimates are not independently recounted.",2026-09-19,karanog-text.pdf,d87436cc7bef4d5168399189872ea1de7a374c235e435243ba48c4509e5b533e
S02,"Woolley, C. Leonard, and D. Randall-MacIver. 1910. Karanòg: The Romano-Nubian Cemetery. Plates. Expedition IV. Philadelphia: University Museum.",https://mc.dlib.nyu.edu/files/books/ifa_egypt000402/ifa_egypt000402_lo.pdf,"Plates 1, 43, 107, 112 and the cemetery foldout visually inspected.",Pl. 1=PDF 8; 43=97; 107=225; 112=235; 116=243. One-based PDF pages refer to this 253-page surrogate.,No supplied image files were available for pixel comparison. Plate 43 is misread as 45 by OCR. Historic artists/photographers are not individually credited on the inspected plates.,2026-09-19,karanog-plates.pdf,9bf61201369c45ac9f40059ba895db3c022ebb37ead76f9fc3ac9bc686e53c5a
S03,"Woolley, C. Leonard. 1911. Karanòg: The Town. Expedition V. Philadelphia: University Museum.",https://mc.dlib.nyu.edu/files/books/ifa_egypt000193/ifa_egypt000193_hi.pdf,Title and excavation introduction inspected.,Printed p. 1 = PDF 23.,"Used for settlement campaign dates, not endorsement of the volume’s Blemmyan attribution.",2026-09-19,karanog-town.pdf,34e4e9fa0ed45892c51265bda048078647b9707d2a6c1b2572fd1a2c3aeb631e
S04,"Williams, Bruce B. 1991. Excavations between Abu Simbel and the Sudan Frontier, Part 8: Meroitic Remains from Qustul Cemetery Q, Ballana Cemetery B, and a Ballana Settlement. Oriental Institute Nubian Expedition 8. Chicago: Oriental Institute.",https://oi-idb-static.uchicago.edu/multimedia/712/oine8pt1.pdf,"Title, contents and regional chronological discussion pp. 16–20 inspected.",Printed page +48 = PDF page; pp. 16–20 = PDF 64–68.,The draft’s isac.uchicago.edu/.../shared/docs/oine8pt1.pdf returned 404. Regional comparisons are not a new excavation of Karanog. Phase III century wording differs between pp. 18 and 20; do not flatten into a precise consensus.,2026-09-19,williams1991.pdf,e44601106bcc02b850d645b1d4452285657a949cd8f0f52d106522addef4f706
S05,"Török, László. 2002. “Kinship and Decorum: (Re-)constructing the Meroitic Élite.” Der Antike Sudan / Mitteilungen der Sudanarchäologischen Gesellschaft zu Berlin 13: 60–84.",https://www.sag-online.de/wp-content/uploads/2018/06/Toeroek2002_KinshipAndDecorum-MeroiticElite_60-84_MittSAG13_small.pdf,"Relevant discussion of status, ba sculpture, kinship and Karanog chronology, especially pp. 67–69, inspected.",Printed p. 60 = PDF 1; p. 69 = PDF 10.,"Early first-century BCE dating is Török’s reconstruction, with acknowledged palaeographical limitations; not a new absolute dating programme.",2026-09-19,torok2002.pdf,1b18537bce0bf5920695d5f88346536237c5305c48aad092fd769afc37143e70
S06,"Francigny, Vincent, and Romain David. 2013. “Dating Funerary Material in the Meroitic Kingdom.” Der Antike Sudan 24: 105–115.",https://www.sag-online.de/wp-content/uploads/2017/01/FrancignyDavid2013_DatingFuneraryMaterialInMeroiticKingdom_MittSAG24.pdf,"Methodological introduction, discussion and bibliography inspected.",Printed p. 105 = PDF 1; p. 113 = PDF 9.,"Used for method and limits of object dating, not to date a specific Karanog grave.",2026-09-19,francigny-david2013.pdf,32e98010e764b54ef866b1fb1a4a2d63487151cc7591344b486f584c9421528a
S07,"Penn Museum. Collection record E7089, offering table, object 156768.",https://collections.penn.museum/collections/object/156768,"Live catalogue fields, description, provenance, location and references inspected.",Unpaginated: Object Number; Provenience; Description; Current Location.,Catalogue currently says Collections Storage and 300 BCE–100 CE. This broad date is not a new independent reassessment; no physical inventory visit. It does not say the object is on display.,2026-09-19,,
S08,"Penn Museum Archives. PU-Mu 1008, Eckley B. Coxe Jr. Expedition to Nubia 1899–1911, finding aid.",https://collections.penn.museum/collections/archives/findingaid/552795,"Scope, dates, personnel, illustrations and access/use information inspected.",Unpaginated finding aid.,Inclusive archival dates are not cemetery excavation dates. Artist names in the archive cannot be assigned to a specific published plate without further evidence.,2026-09-19,,
S09,"“Karanog, Wealthy Capital of a Lower Nubian Province.” 1993. Expedition 35(2), Behind the Scenes, pp. 62–63 (spread; right page numbered 63).",https://www.penn.museum/documents/publications/expedition/35-2/Behind.pdf,Entire one-page scan of the spread visually inspected; especially fig. 2 and fig. 3 on p. 63.,One PDF page contains a two-page spread; printed 63 visible at right.,"Institutional exhibit account, no byline on inspected spread. Model placements explicitly hypothetical; 1993 Cairo location is not evidence of 2026 location.",2026-09-19,penn1993.pdf,fa9717a3083f458c06c44dea007b39bbd795dad8688e3235bf43965ba64df8b5
S10,"Quertinmont, Arnaud. 2017. “La statuaire funéraire des dignitaires provinciaux de l’empire méroïtique.” Koregos, reporticle 206, version 1, published 16 August 2017.",https://koregos.org/en/arnaud-quertinmont-la-statuaire-funeraire-des-dignitaires-provinciaux-de-lempire-meroitique/,"Authored essay, fig. 1 and note 7 inspected.","Unpaginated: fig. 1, note 7.","Identifies Maloton, peseto of Akin, and Aswan Nubia Museum JE 40232 as of 2017. No 2026 collection record independently verified; peer-review status not established here.",2026-09-19,,
S11,"Rilly, Claude. 2016. “Meroitic.” In Julie Stauder-Porchet, Andréas Stauder and Willeke Wendrich (eds), UCLA Encyclopedia of Egyptology. Los Angeles. Version 1 June 2016.",https://escholarship.org/uc/item/3128r3sw,Opening discussion of language and scripts inspected.,Article pp. 1–2 = downloaded PDF 2–3.,Script reading and language comprehension are different. No new translation of a Karanog inscription undertaken.,2026-09-19,rilly2016.pdf,915886518f3b9c6e5334ee54f76508cfd2ce9463c4876a2f03c337c432a5065f
S12,"Mann, Liliane, and Ben van den Bercken. 2020. “Shokan. Revival of a forgotten village.” Sudan & Nubia 24: 24–30.",https://www.sudarchrs.org.uk/wp-content/uploads/2021/10/SARS_SN24_Mann_vandenBercken.pdf,"Regional reservoir and salvage history, especially pp. 24–26, inspected.",Printed p. 24 = PDF 1; p. 26 = PDF 3.,Lists Karanog among drowned centres; does not establish an exact single date when each part of Karanog was submerged.,2026-09-19,mann-bercken2020.pdf,49a3333bce7be41fd8ac98c5cdc0cdbf7bc31b471ad63c2a8db82b723feb99ed
S13,"Godlewski, Włodzimierz. 2013. Dongola—Ancient Tungul: Archaeological Guide. PCMA Archaeological Guides 1. Warsaw: PCMA. Chapter 9, “The Throne Hall,” pp. 42–47.",https://pcma.uw.edu.pl/wp-content/uploads/template/main/file/Dongola_guide/Chapters/9.Dongola_Throne_hall.pdf,"Chapter text inspected through web PDF extraction; dimensions, plan and reconstruction discussed.",Chapter PDF 1–6 = printed 42–47.,"Local download returned CAPTCHA HTML, not a usable PDF. Guide presents the royal interpretation strongly; later scholarship retains a church alternative. Rendered plates not independently inspected in this chapter.",2026-09-19,,
S14,"Godlewski, Włodzimierz. 2013. Dongola—Ancient Tungul: Archaeological Guide. Chapter 18, pp. 134–141.",https://www.pcma.uw.edu.pl/wp-content/uploads/template/main/file/Dongola_guide/Chapters/18.Dongola_Kingdom_of_Dongola_Town.pdf,"Chapter text inspected through web PDF extraction, especially pp. 135 and 137.",Chapter PDF 1–8 = printed 134–141.,Local download returned CAPTCHA HTML. 1364 is the guide’s historical reconstruction; medieval narrative sources behind it were not independently re-edited.,2026-09-19,,
S15,"Obłuski, Artur, Włodzimierz Godlewski, Wojciech Kołątaj, Stanisław Medeksza and Cristobal Calaforra-Rzepka. 2013. “The Mosque Building in Dongola. Conservation and Revitalization Project.” Polish Archaeology in the Mediterranean 22: 248–272.",https://bazhum.muzhp.pl/media/texts/polish-archaeology-in-the-mediterranean/2013-tom-22/polish_archaeology_in_the_mediterranean-r2013-t22-s248-272.pdf,"Architecture, historical chronology, paintings, repair history, figures and bibliography inspected.",Repository cover = PDF 1; printed page −246 = PDF page. Thus 251=5; 252=6; 260=14; 272=26.,A 2013 condition report and conservation proposal are not a current site inspection or proof that every proposed intervention occurred.,2026-09-19,mosque2013.pdf,db3b9a2ba8d7a13efd5cd306a7dba88681d795eb363c4773d7ee7eba3099f396
S16,"Godlewski, Włodzimierz. 2012. “Dongola, Sudan. Excavations in 2012.” Światowit 10 (51), fasc. A: 185–192.",https://bazhum.muzhp.pl/media/texts/swiatowit-rocznik-poswiecony-archeologii-przeddziejowej-i-badaniom-pierwotnej-kultury-polskiej-i-sowianskiej/2012-tom-10-51-numer-a/swiatowit_rocznik_poswiecony_archeologii_przeddziejowej_i_badaniom_pierwotnej_kultury_polskiej_i_slowianskiej-r2012-t10_51-na-s185-192.pdf,Full eight-page report inspected; mosque discussion p. 192 and fig. 9 on p. 191.,Repository cover = PDF 1; printed page −183 = PDF page.,"Other buildings and paintings in this report are not the Mosque Building. The count of 24 elders is inferred, not visible in full.",2026-09-19,godlewski2012.pdf,210273dc7ab7468357dde513b4383de4cd50b44315d2d626520771799fc577e0
S17,"Ochała, Grzegorz. Database of Medieval Nubian Texts, Text 611, mosque foundation stela.",https://dbmnt.uw.edu.pl/texts/611/,"Object, date, language, location and bibliography fields inspected.",Unpaginated record 611; Date and Contents fields.,Catalogued 16 Rabīʿ I 717 AH / 29 May 1317. No fresh Arabic epigraphic edition or independent calendrical conversion performed. The record notes erroneous dates in older references.,2026-09-19,,
S18,PCMA UW. Dongola mission overview and linked season reports.,https://pcma.uw.edu.pl/en/2019/04/02/dongola-2/,Search-index overview inspected; direct page blocked by CAPTCHA.,Unpaginated.,Partial discovery evidence only. Original guide landing page and season report also blocked; accessible publications S13–S16 replace them for substantive citations.,2026-09-19,,
